Vehicle_ID,Odo_Start,Odo_End,Fuel_Level,Damage_Flag
 CAR-16,"36,161 km","37,565 km",34%,0
car-06,"23,836km","25,326 km",0.23,0
CAR-05,7894,8111,55%,0
car-23,"20,568 km","21,844 km",30%,0
CAR-12,"119,700km","119,791 km",0.5,0
CAR 17,34861,36139,18%,0
 CAR-25,"102,662km",103114km,62%,0
car-24,"76,556km",77284km,0.7,1
car-08,40000,"41,358km",0.1,0
CAR 28,8477km,10459,0.1,1
CAR-19,"77,997 km","77,776km",0.7,0
CAR 04,"102,928 km",104320km,0.06,0
CAR-17 ,"85,792 km",87661km,76 %,0
car-16,19673,"20,920 km",0.89,1
CAR-05 ,"89,440km","90,694km",0.38,1
CAR-10,68044,69045km,0.3,0
CAR-19,118517km,"120,323 km",0.2,1
car-18,118476km,117993,0.1,0
CAR 24,"52,534 km","53,420km",0.27,0
CAR-06 ,115249km,"117,173 km",0.86,0
CAR-05,"5,653km","7,612km",0.41,0
CAR-30,"90,042 km","90,972km",15 %,1
CAR-12 ,100901,"100,719km",41%,1
 CAR-28,61626,61252km,0.8,0
car-08,"16,699km",17591,16%,0
car-17,11470,13030,0.14,1
CAR-17,"25,556 km",26650km,6%,0
CAR-20 ,"31,498km","31,928 km",35%,0
 CAR-23,"39,616km",41604km,22 %,0
car-02,48270km,49642,27 %,0
 CAR-30,57100,57835km,0.88,0
car-17,57632km,57699km,0.51,0
car-15,74656km,"75,977 km",0.3,0
car-01,97127,97843km,69 %,0
 CAR-08,"45,202km",45262,0.10,0
CAR 14,"97,158 km",98936,26%,1
CAR-03 ,41837,"43,566 km",51 %,0
CAR 02,"61,398km","61,534km",0.1,0
CAR-03,45179,"46,303km",0.25,0
CAR-30 ,60395km,61572,44%,0
car-30,"50,511 km","52,361km",0.57,1
CAR-06 ,11402,12040,0.1,0
 CAR-14,"16,934 km","18,020 km",0.1,0
car-24,69751,"71,112km",13%,0
CAR-24,"47,306km",48975km,0.1,0
car-07,"35,200km",36618,0.52,0
CAR-12,"66,252km","66,617 km",0.90,0
 CAR-15,"69,757km","70,066 km",0.9,0
CAR-27,49358km,50121km,0.53,1
 CAR-16,99625km,"99,318km",62 %,0
CAR-03,81438,82619,32%,0
car-22,"119,497km","120,984km",46%,0
CAR 03,"43,747km","44,188km",40%,0
CAR-19 ,"16,504 km",17764km,78 %,0
CAR 17,31308km,"32,089km",0.2,0
 CAR-02,80281km,80944km,0.54,1
CAR-23 ,79562km,81411,39%,0
car-16,41476,"42,048km",0.21,0
CAR 25,14658,"15,208 km",61%,0
CAR-22 ,"31,285km","33,230 km",0.28,0
car-25,"114,968km","115,006km",17 %,0
CAR-09 ,"36,041 km",36311km,50%,1
CAR-27,"105,058km","106,197km",63 %,0
CAR 02,"44,093km",44828,0.8,0
CAR-12 ,"54,788km",54745km,0.1,0
CAR-23 ,25407,27186,0.12,0
CAR 09,99005,100293km,68 %,0
 CAR-02,"110,291km",110472km,53 %,0
CAR-30 ,"69,864 km","70,948 km",0.99,0
CAR 28,10050km,11530km,41 %,0
 CAR-30,"111,139km",112823km,85 %,0
 CAR-25,36888,38612,98 %,0
CAR 18,90933,"90,573km",75 %,0
CAR-25 ,57966,58517km,0.3,0
 CAR-08,"24,574km","25,167 km",89 %,0
CAR-27 ,"59,846 km","60,846km",0.3,1
CAR-11 ,108316,109190km,57%,1
CAR-28,64456km,"65,606 km",0.21,0
 CAR-05,96401km,97218,21%,0
CAR-09 ,"60,328 km",60743km,31 %,0
CAR 25,"87,141 km",88114km,0.1,0
CAR-10,21996km,23446km,35%,0
car-11,"41,313 km",41371km,88 %,0
CAR 28,"103,233 km",104944km,42%,0
car-09,"61,190 km","60,971km",56%,0
car-06,81981km,"82,331 km",44%,0
CAR-08 ,"119,751 km",121370km,68%,0
 CAR-02,33565,33773km,0.34,0
CAR-12,"87,962km","89,060km",74 %,1
CAR 13,29004,29706km,74%,1
CAR-16 ,"60,252 km",61787km,0.5,1
CAR 06,42530km,"44,511km",0.6,0
CAR 22,"48,332 km",48352,38%,0
 CAR-16,"25,018 km",26518,0.23,0
 CAR-14,"13,930 km",15297,7 %,0
CAR-22 ,13856,13947km,30 %,0
CAR 17,"9,086 km","10,738km",0.2,0
car-30,"96,522 km",97613km,0.9,1
CAR-01 ,48886,49296km,0.89,0
CAR-22,62231km,62999km,45%,0
CAR 23,38618km,"38,740 km",0.94,0
car-27,"72,518 km",74311km,0.5,0
CAR 18,"25,681 km",26141km,0.6,0
car-29,"22,252km","22,391km",84%,1
CAR-27 ,106766km,"107,128 km",0.72,0
CAR-17 ,52942,"54,356km",0.9,0
 CAR-02,"43,610km",44688km,0.16,0
CAR 28,45965,47770km,0.78,1
CAR-24,"116,792 km",118232,0.39,0
CAR-18 ,115062km,114636,52%,0
CAR-05 ,56729,"57,150km",68 %,1
CAR-28 ,"43,449 km",43601,0.9,0
CAR-26,"54,777 km","55,296 km",63%,1
CAR 07,"70,328km","72,096 km",30%,0
CAR-29,"33,621km","35,601km",0.47,1
CAR-24 ,42436,"42,866 km",48 %,0
CAR-11 ,"34,253km",35412km,0.7,1
car-18,43276km,44912,16 %,0
CAR 08,11671,"13,299km",47%,0
CAR-29 ,"10,803km",10971,75%,0
car-06,"58,298km","59,163km",23 %,1
CAR-23,"68,367km",69262,0.92,0
CAR-09,96700,"97,754km",7%,0
CAR 11,24417,"24,537 km",0.78,1
 CAR-01,"36,869 km",37077,0.3,0
CAR-12,"78,814km","80,682km",65%,0
CAR-26 ,"36,622 km","37,602km",0.59,0
CAR 12,44413km,"44,856km",24%,0
CAR-04,"55,186km",57090,0.8,0
CAR-09 ,67762,"68,104 km",0.1,0
CAR-27,"94,997km",94850km,85 %,0
car-28,64906,"66,536km",19 %,0
CAR-10,44498,"46,370 km",0.36,0
 CAR-26,72874,74396km,54 %,0
car-07,"76,197 km",77152,0.3,0
CAR-01 ,49480,50222km,13 %,0
car-30,"34,960 km","35,271 km",0.5,1
car-29,"29,198 km",30984km,50 %,1
 CAR-13,"44,297 km",46005,0.85,0
car-30,"70,075km",71867,0.35,0
CAR-28 ,"30,495 km",31211km,51%,0
CAR-07,74896,76895km,76%,0
 CAR-16,51262km,51469km,0.1,0
CAR 23,81839km,"82,274 km",0.35,0
CAR-10,"93,847km","94,559km",40 %,0
 CAR-01,35593km,"37,411 km",0.52,0
CAR 29,"37,024km",38733,45%,0
CAR-01,"77,424 km",79007km,77%,0
CAR-03 ,18632km,"20,244 km",30 %,0
 CAR-29,26761,27967km,79 %,0
CAR 22,118991km,"120,879km",0.15,0
CAR 07,66629,"66,976km",0.31,0
 CAR-23,95114,"96,702 km",0.4,0
 CAR-17,"49,805 km","50,479km",33%,0
CAR 19,100754,"102,162 km",12%,0
 CAR-24,53203km,"54,138 km",98%,0
 CAR-07,115811,115834,0.05,0
CAR-20 ,"71,897 km",72613km,0.94,0
CAR-11 ,"83,692 km","83,748km",0.3,0
 CAR-14,"76,871km",78064,0.46,1
CAR-26,11945,13696km,0.24,1
car-20,51003,"50,929 km",0.1,0
CAR-25,"93,084 km",94220km,0.7,0
CAR-28 ,48337km,49141km,78 %,0
CAR-19,101453km,"101,856 km",59%,0
car-16,73787,"74,033km",65 %,0
CAR 08,"94,200 km","94,821km",0.4,0
CAR 16,"91,222 km",91569km,0.9,0
CAR-16 ,117587,"117,973km",24%,0
CAR 02,70808km,72611,0.87,0
CAR-13 ,"77,939km",78428km,0.8,0
CAR-27 ,64987,"66,700 km",0.7,0
car-04,"61,056 km","61,344 km",0.6,0
CAR 16,"69,508km","69,559km",0.1,0
car-05,"99,616km",101017km,38%,1
CAR-28 ,46565,47563,0.96,0
CAR-06 ,18159,18320,0.79,1
CAR-22 ,75228km,"75,393 km",0.24,0
CAR 15,"67,735 km",69413,0.8,1
CAR-30 ,75220,"76,386km",16 %,0
car-05,90738km,"91,703 km",96%,0
 CAR-06,"53,459 km",54397km,11%,0
CAR-11 ,"27,789 km","29,469km",23 %,0
CAR-05,"13,654 km","13,331 km",30 %,0
CAR-15,71582,"72,288 km",53 %,1
CAR-08 ,117604km,"117,682km",0.95,0
CAR-26 ,38646km,38927,0.31,0
CAR-21,"53,234 km","54,912km",7%,1
CAR 24,"55,171 km","56,758km",55 %,0
CAR 12,"94,282km",94557,0.15,0
 CAR-21,"23,761km",24528,0.80,0
car-09,89956km,"91,454 km",39%,0
 CAR-02,100675km,"101,352 km",1.0,0
car-25,43111km,42619km,0.10,0
car-25,"54,064 km","54,429 km",69%,0
CAR 05,"95,439 km","96,731km",0.78,0
CAR-04 ,97913km,"98,859km",72%,0
CAR 05,6019,6940km,61 %,0
CAR-11 ,109228km,110342,5 %,0
CAR 22,11055km,11105km,23%,1
CAR-12,"57,292 km","59,232km",0.7,1
CAR 20,"92,054 km",93196km,0.99,0
 CAR-20,66339,"67,920km",53 %,1
CAR-29,"117,066 km","118,358 km",96 %,0
CAR-10,41514km,43282,74%,0
CAR-25,60734,"62,617km",0.31,0
CAR 10,"74,879km",76443,28%,0
CAR-08,14804,16264,0.7,0
 CAR-10,"113,528 km","114,163 km",0.8,0
CAR 06,"62,310km","63,458km",73 %,1
car-25,"30,652km",30804km,76 %,0
CAR 23,58560,58698km,34 %,1
CAR 15,100079km,101416km,0.63,1
 CAR-28,67888,68623km,97%,0
CAR 03,17260km,17912,0.45,0
CAR 22,73158,"73,468 km",100 %,1
CAR-06,"96,734km",97440km,51%,1
CAR-14,"76,117 km","77,511km",75%,1
car-25,74630km,"76,546km",22%,0
car-30,"86,091km",86449km,9%,0
CAR-05 ,74276km,76148km,16%,1
CAR 14,20017,"20,287 km",48%,1
 CAR-17,"26,278 km",26288,0.99,0
 CAR-29,110614km,112166,0.29,0
CAR-04 ,"115,527 km","115,152km",0.2,0
CAR 18,78478,79405,88 %,0
CAR 08,28577,29144km,54 %,1
CAR-25 ,17016,17927km,0.93,1
CAR-27 ,"107,287km","107,523 km",0.5,0
 CAR-30,"58,184 km",58418km,28 %,1
CAR-26,"10,403 km",12108km,0.10,0
CAR-14 ,111736km,"112,413km",0.56,0
CAR-12 ,"60,180km","61,488km",28%,0
CAR-01 ,29800km,"31,657 km",0.5,0
 CAR-13,"43,141km","44,562km",85%,0
CAR 23,"61,309 km",61510km,0.6,0
CAR 07,"32,854km","34,712 km",1.0,0
car-05,18619km,"19,274 km",0.30,0
CAR-22 ,"97,732 km","98,959 km",70%,0
 CAR-25,95781km,97444km,49 %,0
CAR 14,65353km,65370km,0.79,0
CAR 03,"52,977km",54125km,53%,0
 CAR-04,25141km,"25,053km",0.4,0
CAR-10,8089km,8977km,100 %,0
 CAR-09,113356km,"114,261 km",0.34,0
 CAR-30,12652,12910km,60%,0
car-28,101335km,"101,493 km",0.1,0
CAR-16,"10,957 km",11392,60%,0
CAR 12,"71,148km",71910,28 %,0
 CAR-23,"77,981km","78,285km",47 %,0
CAR-09 ,50333,50377km,17 %,0
CAR 03,62177km,62204,0.5,0
car-02,"13,138 km","14,320 km",0.2,0
CAR-24,"102,112 km","103,681km",70 %,0
car-20,"95,645km","97,555km",0.7,0
CAR-28 ,"35,889 km",37687,0.8,0
CAR 26,89850,"90,966 km",0.65,1
car-19,"20,690km","22,271 km",0.62,0
CAR 23,63113,64361,48%,0
CAR 02,93016km,"94,981km",78 %,0
 CAR-05,"49,193 km",49727,0.51,1
CAR 27,31922,"33,273 km",18%,0
car-02,21614km,"22,060 km",1.0,0
car-14,108004km,"109,880 km",24%,0
 CAR-26,112476km,112985km,0.73,0
CAR-17 ,"82,222km",83282km,32 %,0
CAR 24,"74,016km",74360km,51%,1
 CAR-05,"66,670km",67344km,0.3,0
CAR-26,61377,62616,19%,0
CAR 01,52741,54346,57%,1
CAR-10 ,7388,7584km,52 %,0
car-18,"37,082 km","38,223 km",12 %,0
 CAR-09,52868,"53,192 km",1.0,1
 CAR-21,"107,601 km","107,916 km",0.3,0
CAR-04 ,"17,037km",18559,0.69,0
car-30,16281km,"18,188 km",0.7,0
CAR-30,"59,617 km","60,512km",0.89,1
CAR 14,7238,"7,466km",84%,0
CAR 17,"101,108km","101,250km",0.45,0
 CAR-17,"90,810 km",92496km,0.9,0
 CAR-05,"6,563km",7571km,49%,0
CAR 19,43094,43969,0.42,1
CAR 03,"80,189 km","80,590km",16 %,0
 CAR-26,90794,"91,339 km",93%,1
CAR-03 ,64163,"64,444 km",0.96,1
 CAR-08,"69,071 km",70844,94 %,0
CAR-03,"77,892 km",78236,26%,0
car-13,"116,038km","116,605 km",0.74,1
CAR 11,"116,621km",117062km,0.61,1
CAR-13 ,63663,"65,584 km",52%,0
CAR-25,"8,562km",10520,28 %,0
car-21,"77,321km","77,719 km",81 %,0
 CAR-12,"79,305km","78,988 km",84%,0
CAR-19,"34,642km",35276km,62%,0
 CAR-02,"38,961km",40006km,0.4,0
 CAR-15,"34,615km","35,053km",44%,0
CAR-16 ,52127km,"52,272 km",0.2,1
car-30,"36,692km","37,597 km",34%,0
CAR-02 ,9104km,9993,17 %,0
 CAR-24,"45,155 km",46369km,83 %,0
CAR 08,"98,359km",99569,20%,0
car-24,"95,681 km","95,728km",97 %,0
CAR 17,92665km,"94,423km",65%,1
car-12,"94,383km",96075km,9%,0
 CAR-08,37401,37692km,90%,0
CAR 14,"41,558km",42470,66%,0
CAR-13,89143,89596km,23 %,0
 CAR-12,"53,279km","53,565 km",0.9,0
car-03,"92,904km",94860km,77%,0
CAR-29,"42,419 km",43768km,0.29,0
CAR 17,"46,170km",47846,92 %,0
 CAR-04,"14,220 km",14956km,0.98,1
car-27,91273,92747km,7 %,0
car-06,63063km,"63,669km",30 %,1
 CAR-12,"71,982 km","73,449km",93 %,1
CAR-16 ,"101,414km",103046km,0.8,1
CAR 09,"23,118km","24,513km",16 %,0
car-15,94579km,"96,280 km",0.86,0
 CAR-06,45021,46560km,0.5,0
 CAR-10,"111,071 km","112,747km",0.79,1
CAR 03,67852,68466,38 %,0
CAR 10,"28,365 km",30044km,66 %,1
car-08,"57,213km",57672,1.0,0
 CAR-02,"98,533 km",99744km,48%,0
CAR-08,"101,151 km",103148,41 %,0
CAR-07 ,100796km,"101,768 km",0.2,1
 CAR-11,81985km,"82,967 km",93 %,1
CAR-28 ,89443,"90,992km",88%,0
CAR-28,"101,259km","102,147km",0.52,0
CAR-14 ,"77,942 km",79286km,0.9,1
CAR-28,"93,710 km","94,445km",21 %,0
 CAR-10,"7,732 km","8,319 km",56%,0
car-25,7511,8869km,24 %,0
CAR-08,43473,"43,607km",0.7,1
CAR-03 ,"61,226km","62,484 km",23 %,0
CAR 05,117415,"118,635km",0.53,0
CAR-03,107992,108931km,7%,0
CAR-20 ,"116,096km","116,523 km",0.50,0
CAR-06 ,69719km,"70,010 km",96 %,0
car-03,82603km,82650,42 %,0
CAR-27,"38,341km",40091km,0.58,0
CAR-07 ,"17,423km","19,123 km",0.4,0
 CAR-15,26172km,26941,17%,0
CAR 17,"34,052km",34960,0.19,1
CAR-05 ,"24,073 km",25809km,0.7,1
CAR 30,"35,911 km","37,691 km",0.38,0
car-10,117440,118323,91 %,0
 CAR-24,119671,"121,226 km",10 %,0
CAR 27,"80,268 km","82,099 km",94 %,0
CAR-18,"95,492km",97116km,16 %,0
 CAR-06,"59,343km","60,908km",80 %,0
CAR-30,70542km,"72,411km",0.2,0
CAR-04 ,52209,"53,370km",0.95,0
CAR-02 ,103683,105129km,19 %,0
CAR-26 ,"38,373km","38,131 km",30%,1
car-22,111830km,"112,677 km",49%,0
CAR-16,37628,"39,071 km",0.5,0
car-28,"116,025km","117,471km",77 %,0
car-28,"27,936 km",29465,0.43,0
CAR-02,82154km,83620,0.9,0
CAR-14 ,5844,"6,228 km",0.46,0
 CAR-20,11303,12410,0.1,0
 CAR-08,"81,064 km","81,654 km",0.90,0
 CAR-28,111505,111689,0.73,0
CAR 04,"49,352 km",50516km,86%,1
CAR-19,"61,980 km","63,667 km",0.8,0
 CAR-11,"87,924km",88982km,0.21,0
car-01,"70,308 km",72263,17 %,1
 CAR-11,"107,005 km","108,000km",66%,0
CAR-07 ,54242km,54413,0.69,0
 CAR-04,"61,306 km","62,610 km",15 %,0
car-02,"68,223km","68,829km",69 %,0
car-10,"103,972 km",103884,0.34,1
CAR-01 ,"81,408 km","82,839km",78%,0
CAR-14,41992,42217,0.93,0
CAR-28 ,"90,959 km",92140,61%,0
CAR-18 ,"105,073 km",105925,0.3,0
 CAR-19,100365km,"101,542 km",0.8,0
 CAR-11,"117,225km",118025km,60%,0
car-17,"91,877km","93,026km",0.4,1
 CAR-13,23241,"25,007 km",0.08,1
 CAR-17,"110,002 km",111186,97 %,0
CAR-20,49663,"51,428 km",0.3,0
CAR-22,116076,117304km,37 %,0
car-17,33767,"34,828 km",0.78,0
car-16,"87,404 km","88,197km",35%,1
CAR-04 ,80783,"81,259km",5%,0
CAR 06,"110,774km","111,154 km",0.6,0
CAR 28,52198km,53610,49%,0
car-01,101014km,"102,612 km",53%,0
CAR 12,"112,279km",112863,95%,0
CAR-16,"46,403 km","46,620 km",73 %,0
CAR-24 ,39340km,39468km,0.07,0
CAR-28 ,7342,8535,89%,0
CAR-13 ,72673km,"73,885km",0.1,1
car-13,71288,"72,563 km",0.45,0
CAR-25,"97,783 km",98760km,61 %,0
 CAR-29,"19,183 km",19299,43 %,0
 CAR-09,83443,83476km,0.62,0
CAR-14,39102,"40,106km",0.62,0
car-04,55491,56455,67%,0
car-29,32713,33728,69 %,0
CAR-13,15309,17058km,42 %,0
 CAR-22,67062km,"68,302 km",70 %,0
 CAR-12,62801km,"63,746 km",0.98,0
CAR 12,"33,366 km",33815,33 %,1
CAR-11 ,"109,372 km","109,522 km",94 %,0
 CAR-28,"85,516km","86,172 km",0.78,0
CAR-02 ,95338,"96,844 km",16%,0
CAR 27,"71,012km",71530km,24 %,0
 CAR-17,"38,485 km","39,415 km",0.8,0
CAR-03,"71,453 km",72802km,0.8,1
CAR-22,"89,036km",89701,11%,0
 CAR-12,114609,"115,056km",0.7,1
CAR-28,76918km,78830km,51%,0
 CAR-07,"43,121km","43,638 km",49 %,0
CAR 08,"73,147km",74112,42 %,0
 CAR-29,37258km,38905,0.52,0
CAR-13,"9,280 km","10,458 km",0.43,0
CAR-28 ,38237,38253km,12 %,0
CAR-06 ,"117,541 km",119528km,0.45,0
CAR 03,"9,785km","10,255km",0.2,0
 CAR-14,"12,812km","14,086 km",0.41,1
 CAR-25,"39,117 km","39,777km",27%,0
CAR-26 ,114930km,"116,465 km",62 %,0
car-26,8063km,"8,252 km",0.9,0
CAR-30 ,81016km,"81,900 km",80 %,0
CAR-19,50517km,"50,450 km",62 %,0
CAR-03 ,"64,490 km","66,266km",94 %,0
CAR-09 ,43609,"44,277km",31%,1
CAR-29 ,"81,617km",82947,42 %,0
 CAR-06,"52,157km",53935,0.05,0
CAR 17,119360km,119307km,0.4,0
 CAR-18,76191km,78147,0.44,1
CAR 30,18620km,"19,428 km",84%,1
CAR 27,109585km,"111,016 km",46 %,0
CAR-02 ,96609km,"98,166 km",76 %,0
 CAR-28,"41,693km","42,785km",8 %,0
CAR-09,"84,031 km",85710km,7 %,1
car-26,90637km,91758,39%,1
car-24,"61,715km",62279,86%,0
CAR-20,"11,872 km",13296km,0.3,0
CAR 22,"53,047km",53511km,52%,1
CAR 12,110803km,111592km,0.9,0
 CAR-21,21873,21953km,21%,0
 CAR-30,"115,567km",115111,0.9,0
CAR 22,"21,307km",21640,71%,0
CAR-30 ,"119,044km",120979,24 %,0
 CAR-23,"97,030 km","98,718km",0.24,0
CAR-28,29184km,"29,236 km",0.9,0
CAR 01,"29,292 km","30,164km",30%,0
 CAR-24,24102km,"24,398 km",63%,0
CAR-21,"100,996 km",101315,0.71,0
 CAR-02,28584km,29929,0.16,0
CAR-20 ,"13,753km","14,944 km",82 %,0
car-28,"102,581 km","103,128km",0.66,0
 CAR-12,"66,965 km",67120,95%,0
 CAR-03,80445,"82,336 km",81%,0
car-25,"106,218 km",107901km,52%,0
CAR-24,112312km,"113,654km",63 %,1
 CAR-15,"41,442 km",42696,24%,0
 CAR-11,"95,790 km",97755km,0.7,0
CAR-18 ,"15,461km",17064,0.6,1
CAR 24,64646,66118km,0.2,0
CAR-30 ,"29,806km","31,168 km",26%,0
CAR 23,90801,92751km,88 %,1
car-29,15546,17274,0.29,0
car-14,23734,"24,531km",0.97,0
 CAR-19,42819,"42,844 km",0.96,0
car-28,15013,"16,236 km",0.81,0
CAR-27,61717km,62920km,0.32,0
CAR-05,"74,985 km","75,794 km",55 %,0
car-08,9272km,10999,0.9,0
CAR-02 ,15831,17528,0.2,0
CAR-11 ,"117,217 km",118656,0.65,0
 CAR-06,"82,468km",83526,0.6,0
CAR 07,104113km,105177,0.4,0
CAR-13,14535,15101,0.23,0
CAR 27,22981km,"23,801km",88%,0
CAR-16 ,"12,457km","13,521 km",43%,1
CAR-04,"64,454 km","63,985 km",0.3,1
CAR-23 ,"84,423 km","84,823km",0.1,0
 CAR-13,"80,344km",81000,0.41,0
CAR-23,"10,409km","10,445 km",0.1,0
CAR-01 ,"19,860km",20611,0.83,1
car-01,9923km,"10,053 km",0.5,0
CAR 09,"49,974km","50,316 km",0.32,0
CAR 10,"56,751 km",58218km,83%,0
 CAR-18,"40,859 km","42,104km",0.49,0
 CAR-17,41823km,42953km,0.6,1
CAR 03,"82,111km","83,809 km",0.49,0
CAR-25,"9,599 km","10,200 km",30 %,0
CAR 30,21821km,"21,977km",0.8,0
car-24,16689km,17684,0.9,1
CAR-17,59446km,60975,79%,0
car-06,88434,88822km,23 %,0
CAR 11,"104,911 km",106143,0.2,0
 CAR-07,8282,"8,082 km",90 %,0
 CAR-30,90045km,"91,985km",64 %,0
CAR-02 ,"14,841km","15,470 km",0.47,0
 CAR-17,"102,991 km",102802,0.1,0
CAR-14,"75,959km","76,602 km",0.62,1
CAR-27,"70,525km",72333km,57 %,0
CAR-13,81184,"81,752km",0.1,0
CAR-16,46019,46630km,32%,1
CAR-30 ,109897,111164,19%,1
 CAR-14,"30,486 km",31375,0.68,0
CAR-24 ,"78,383 km",79005,64 %,0
CAR-30 ,"66,952km",67995km,0.6,1
car-11,61142km,62938km,39 %,1
 CAR-20,85514km,87286,8 %,0
 CAR-30,"88,499 km","89,544km",41%,0
CAR-03,"28,957km","29,769 km",20%,0
 CAR-06,87429,"87,249km",0.2,0
CAR 11,64518,"65,227km",6%,0
 CAR-06,"48,302 km","48,627 km",57%,0
CAR-08,55562,56618km,0.3,0
CAR-26,85629,"86,582km",0.8,0
car-27,103239,"104,215km",18 %,0
CAR 06,51010,52222km,56 %,0
CAR 13,6755,"8,566 km",64 %,1
 CAR-09,"74,695km","76,039 km",0.6,1
car-28,"111,838 km","112,981km",66 %,0
CAR 14,"15,190 km",16719km,1.0,1
CAR-27,"64,054 km",64485km,0.66,0
CAR-17 ,65659km,66055km,34%,0
CAR-07 ,"78,218km","79,739 km",76 %,0
 CAR-10,"16,953km",18213,0.5,0
 CAR-12,95130,"96,223km",83%,1
car-26,"41,784 km","41,862 km",28%,0
CAR-16,113381km,"113,580 km",0.09,0
 CAR-30,53427km,"53,483km",80 %,0
 CAR-12,96799km,97848km,50%,0
car-19,5670km,6701km,0.7,0
CAR-11 ,88101km,"89,042 km",0.2,0
 CAR-28,"59,690km",61402km,0.6,0
car-15,"97,762km","99,012km",57%,0
 CAR-28,33012,33195,0.84,0
CAR-19,"23,634 km","24,458 km",0.9,1
CAR-05 ,"66,937 km",68601km,0.07,0
CAR 03,31815km,32941km,0.85,1
CAR-05 ,50823km,"51,010km",39%,1
CAR-14,59815km,60427km,0.94,0
 CAR-26,18975km,19745km,0.44,0
CAR 25,"91,794 km",92675,73 %,0
car-24,33435km,"33,588 km",33%,0
CAR 01,"100,435 km","101,514km",0.9,0
CAR 23,"62,360 km",63961,0.2,0
 CAR-25,"48,436km","49,756km",64%,0
CAR-24,43456,43952,0.1,0
 CAR-19,"16,044 km","16,879 km",84%,0
CAR-21,"104,493 km",105130km,78 %,0
CAR 12,62466,62626,23 %,0
CAR-28 ,"59,923 km",60229,0.2,0
CAR-26,"31,045 km","31,289 km",0.54,1
car-06,23550km,23575km,0.2,1
 CAR-24,7687,7661km,0.4,0
CAR-28,"31,196 km","32,730km",0.6,0
 CAR-18,69834,71423,0.86,0
car-29,118386,118551km,89%,0
CAR 18,"111,779km","112,224 km",35 %,0
 CAR-23,82840,"83,674km",91%,1
CAR 19,"60,836km",62274,0.7,0
 CAR-01,"18,425 km",19065,73%,0
CAR-07 ,98829km,"100,649km",0.4,1
CAR 14,"86,062km","87,833km",0.41,0
CAR 17,"79,285km",79607km,0.78,0
car-18,86954,"87,595km",90 %,0
 CAR-20,"69,742km","71,529km",0.9,0
CAR-15,87080,"88,938 km",93 %,0
CAR-15 ,49577km,"49,729 km",0.17,1
CAR-11,"109,779km","110,932km",21%,0
CAR-09,103109,"105,029km",0.52,0
 CAR-11,"71,473km",71402,17 %,0
CAR-06,"35,892km",36303km,59%,0
CAR 06,41641,42168,0.84,1
car-21,76604km,77015km,0.3,0
car-04,"65,253 km","65,521 km",31%,0
CAR-30,34713km,36427,37 %,0
car-12,30401km,31034km,72%,0
 CAR-04,"99,374 km",99900km,88 %,0
car-04,"78,246 km","80,129km",0.11,1
CAR 10,"10,058km",12046,0.5,0
CAR-11 ,89342km,91037,24%,0
car-14,15873km,16536km,64%,0
CAR-29 ,"74,522km","74,706 km",0.8,0
CAR-12 ,"107,475 km","108,506km",0.9,0
car-10,"30,584 km",32537,0.6,0
CAR 30,"6,834km","7,933 km",64 %,0
 CAR-09,97328km,"98,880 km",28%,0
car-04,75325km,"76,134km",28 %,0
CAR-22 ,"18,391 km","18,407km",6 %,0
CAR-17 ,92974km,94051km,27 %,0
 CAR-27,"115,351km","116,850 km",0.41,1
CAR 14,"99,199km","99,592 km",0.3,0
CAR-19,"94,463km","94,665 km",23%,0
car-26,"49,398 km","49,733km",0.7,0
CAR-07,"76,775 km",77006km,15 %,0
CAR-01 ,6196km,6129,0.3,0
car-26,"56,378km","57,479 km",0.4,0
 CAR-05,15260,17147km,43 %,0
CAR-04,98399km,99080,0.2,0
CAR-14,"12,298 km","13,748km",96 %,1
 CAR-12,31903km,"33,063km",8%,0
 CAR-07,81460,83027,0.63,0
 CAR-16,"116,535 km",118380km,0.8,0
CAR-18 ,"84,367 km",85686,25%,0
car-20,29667km,"29,825km",0.75,1
CAR-25 ,68345km,68299km,0.16,0
CAR-12 ,"68,673km",70588km,0.67,0
 CAR-10,"25,287km","26,527 km",85 %,0
car-04,"53,901 km","54,957 km",76%,0
car-24,34382km,34737,0.71,0
car-20,"49,335km",49401km,85 %,0
CAR 09,34182km,35014km,23%,0
CAR 19,107568,"108,713 km",0.52,0
 CAR-11,22981km,23362km,55 %,0
CAR 20,"49,386 km",49572,0.5,0
CAR 12,9675km,11285km,38%,0
CAR-13 ,"100,384km","102,154km",0.70,1
CAR-30 ,28466,"29,514 km",17%,0
CAR-20,99106,99733,0.3,1
 CAR-04,"19,968 km","20,400km",53 %,0
CAR 08,75033km,"75,266 km",45%,0
car-08,51303,"51,838km",0.23,0
 CAR-19,"69,774 km",71184,19 %,0
CAR-06 ,11173km,12782km,0.1,0
 CAR-10,"107,503km","109,245km",87%,0
CAR-09,84989km,86258km,93 %,0
CAR 20,112061km,"113,403km",77%,0
 CAR-10,61052km,62715,76%,1
 CAR-16,83590km,"84,967 km",0.6,0
CAR-07,"57,688 km",57632km,0.71,0
CAR 21,89277,"90,397km",0.21,0
car-23,116756,"118,441km",0.6,1
car-06,"65,123 km","66,520km",0.66,1
CAR 18,31037km,31857km,0.9,0
CAR-03,"110,446km","110,919 km",0.7,0
 CAR-20,67726km,"68,082 km",0.7,0
